  STN,YYYYMMDD,   TN,   TX
  375,20130801,  177,  320
  375,20130802,  174,  365
  375,20130803,  129,  264
  375,20130804,  118,  279
  375,20130805,  129,  311
  375,20130806,  140,  229
  375,20130807,  137,  172
  375,20130808,  111,  230
  375,20130809,   96,  245
  375,20130810,  108,  212
  375,20130811,  117,  233
  375,20130812,  108,  205
  375,20130813,   86,  198
  375,20130814,   93,  219
  375,20130815,  100,  227
  375,20130816,  133,  289
  375,20130817,  157,  252
  375,20130818,  152,  239
  375,20130819,  104,  216
  375,20130820,   81,  218
  375,20130821,  104,  242
  375,20130822,  105,  249
  375,20130823,  122,  269
  375,20130824,  129,  237
  375,20130825,  139,  221
  375,20130826,  119,  244
  375,20130827,  118,  252
  375,20130828,  108,  250
  375,20130829,   94,  251
  375,20130830,   92,  243
  375,20130831,   98,  235
